"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US12121","Suwannee County, Florida","44046","*****"
"0500000US12123","Taylor County, Florida","21870","*****"
"0500000US12125","Union County, Florida","15303","*****"
"0500000US12127","Volusia County, Florida","536487","*****"
"0500000US12129","Wakulla County, Florida","32321","*****"
"0500000US12131","Walton County, Florida","68262","*****"
"0500000US12133","Washington County, Florida","24764","*****"
"0500000US13001","Appling County, Georgia","18440","*****"
"0500000US13003","Atkinson County, Georgia","8239","*****"
"0500000US13005","Bacon County, Georgia","11201","*****"
"0500000US13007","Baker County, Georgia","3132","*****"
"0500000US13009","Baldwin County, Georgia","45111","*****"
"0500000US13011","Banks County, Georgia","18708","*****"
"0500000US13013","Barrow County, Georgia","78991","*****"
"0500000US13015","Bartow County, Georgia","104919","*****"
"0500000US13017","Ben Hill County, Georgia","17033","*****"
"0500000US13019","Berrien County, Georgia","19152","*****"
"0500000US13021","Bibb County, Georgia","153200","*****"
"0500000US13023","Bleckley County, Georgia","12807","*****"
"0500000US13025","Brantley County, Georgia","18756","*****"
"0500000US13027","Brooks County, Georgia","15590","*****"
"0500000US13029","Bryan County, Georgia","37063","*****"
"0500000US13031","Bulloch County, Georgia","76120","*****"
"0500000US13033","Burke County, Georgia","22520","*****"
"0500000US13035","Butts County, Georgia","24090","*****"
"0500000US13037","Calhoun County, Georgia","6365","*****"
"0500000US13039","Camden County, Georgia","53231","*****"
"0500000US13043","Candler County, Georgia","10812","*****"
"0500000US13045","Carroll County, Georgia","117183","*****"
"0500000US13047","Catoosa County, Georgia","66700","*****"
"0500000US13049","Charlton County, Georgia","13040","*****"
"0500000US13051","Chatham County, Georgia","288496","*****"
"0500000US13053","Chattahoochee County, Georgia","10560","*****"
"0500000US13055","Chattooga County, Georgia","24812","*****"
"0500000US13057","Cherokee County, Georgia","247515","*****"
"0500000US13059","Clarke County, Georgia","126176","*****"
"0500000US13061","Clay County, Georgia","2951","*****"
"0500000US13063","Clayton County, Georgia","283538","*****"
"0500000US13065","Clinch County, Georgia","6686","*****"
"0500000US13067","Cobb County, Georgia","751218","*****"
"0500000US13069","Coffee County, Georgia","43021","*****"
"0500000US13071","Colquitt County, Georgia","45486","*****"
"0500000US13073","Columbia County, Georgia","150705","*****"
"0500000US13075","Cook County, Georgia","17177","*****"
"0500000US13077","Coweta County, Georgia","143260","*****"
"0500000US13079","Crawford County, Georgia","12325","*****"
"0500000US13081","Crisp County, Georgia","22713","*****"
"0500000US13083","Dade County, Georgia","16197","*****"
"0500000US13085","Dawson County, Georgia","24536","*****"
"0500000US13087","Decatur County, Georgia","26682","*****"
"0500000US13089","DeKalb County, Georgia","749323","*****"
"0500000US13091","Dodge County, Georgia","20829","*****"
"0500000US13093","Dooly County, Georgia","13736","*****"
"0500000US13095","Dougherty County, Georgia","89703","*****"
"0500000US13097","Douglas County, Georgia","143316","*****"
"0500000US13099","Early County, Georgia","10312","*****"
"0500000US13101","Echols County, Georgia","3981","*****"
"0500000US13103","Effingham County, Georgia","60477","*****"
"0500000US13105","Elbert County, Georgia","19166","*****"
"0500000US13107","Emanuel County, Georgia","22533","*****"
"0500000US13109","Evans County, Georgia","10687","*****"
"0500000US13111","Fannin County, Georgia","25395","*****"
"0500000US13113","Fayette County, Georgia","112303","*****"
"0500000US13115","Floyd County, Georgia","97369","*****"
"0500000US13117","Forsyth County, Georgia","228383","*****"
"0500000US13119","Franklin County, Georgia","22766","*****"
"0500000US13121","Fulton County, Georgia","1036200","*****"
"0500000US13123","Gilmer County, Georgia","30414","*****"
"0500000US13125","Glascock County, Georgia","2996","*****"
"0500000US13127","Glynn County, Georgia","84470","*****"
"0500000US13129","Gordon County, Georgia","57202","*****"
"0500000US13131","Grady County, Georgia","24828","*****"
"0500000US13133","Greene County, Georgia","17349","*****"
"0500000US13135","Gwinnett County, Georgia","915046","*****"
"0500000US13137","Habersham County, Georgia","44626","*****"
"0500000US13139","Hall County, Georgia","198667","*****"
"0500000US13141","Hancock County, Georgia","8515","*****"
"0500000US13143","Haralson County, Georgia","29227","*****"
"0500000US13145","Harris County, Georgia","34105","*****"
"0500000US13147","Hart County, Georgia","25773","*****"
"0500000US13149","Heard County, Georgia","11736","*****"
"0500000US13151","Henry County, Georgia","225356","*****"
"0500000US13153","Houston County, Georgia","153507","*****"
"0500000US13155","Irwin County, Georgia","9320","*****"
"0500000US13157","Jackson County, Georgia","67885","*****"
"0500000US13159","Jasper County, Georgia","13916","*****"
"0500000US13161","Jeff Davis County, Georgia","15036","*****"
"0500000US13163","Jefferson County, Georgia","15618","*****"
"0500000US13165","Jenkins County, Georgia","8793","*****"
"0500000US13167","Johnson County, Georgia","9691","*****"
"0500000US13169","Jones County, Georgia","28579","*****"
"0500000US13171","Lamar County, Georgia","18672","*****"
"0500000US13173","Lanier County, Georgia","10380","*****"
"0500000US13175","Laurens County, Georgia","47405","*****"
"0500000US13177","Lee County, Georgia","29502","*****"
"0500000US13179","Liberty County, Georgia","61349","*****"
"0500000US13181","Lincoln County, Georgia","7856","*****"
"0500000US13183","Long County, Georgia","18692","*****"
"0500000US13185","Lowndes County, Georgia","115364","*****"
"0500000US13187","Lumpkin County, Georgia","32402","*****"
"0500000US13189","McDuffie County, Georgia","21455","*****"
"0500000US13191","McIntosh County, Georgia","14174","*****"
"0500000US13193","Macon County, Georgia","13305","*****"
"0500000US13195","Madison County, Georgia","29218","*****"
"0500000US13197","Marion County, Georgia","8432","*****"
"0500000US13199","Meriwether County, Georgia","21106","*****"
"0500000US13201","Miller County, Georgia","5787","*****"
"0500000US13205","Mitchell County, Georgia","22244","*****"
"0500000US13207","Monroe County, Georgia","27171","*****"
"0500000US13209","Montgomery County, Georgia","9058","*****"
"0500000US13211","Morgan County, Georgia","18507","*****"
"0500000US13213","Murray County, Georgia","39724","*****"
"0500000US13215","Muscogee County, Georgia","195739","*****"
"0500000US13217","Newton County, Georgia","108079","*****"
"0500000US13219","Oconee County, Georgia","38132","*****"
"0500000US13221","Oglethorpe County, Georgia","14931","*****"
"0500000US13223","Paulding County, Georgia","159825","*****"
"0500000US13225","Peach County, Georgia","27145","*****"
"0500000US13227","Pickens County, Georgia","31387","*****"
"0500000US13229","Pierce County, Georgia","19250","*****"
"0500000US13231","Pike County, Georgia","18327","*****"
"0500000US13233","Polk County, Georgia","41908","*****"
"0500000US13235","Pulaski County, Georgia","11216","*****"
"0500000US13237","Putnam County, Georgia","21691","*****"
"0500000US13239","Quitman County, Georgia","2289","180"
"0500000US13241","Rabun County, Georgia","16645","*****"
"0500000US13243","Randolph County, Georgia","6973","*****"
"0500000US13245","Richmond County, Georgia","201852","*****"
"0500000US13247","Rockdale County, Georgia","89717","*****"
"0500000US13249","Schley County, Georgia","5221","*****"
"0500000US13251","Screven County, Georgia","13989","*****"
"0500000US13253","Seminole County, Georgia","8321","*****"
"0500000US13255","Spalding County, Georgia","65306","*****"
"0500000US13257","Stephens County, Georgia","25750","*****"
"0500000US13259","Stewart County, Georgia","6293","*****"
"0500000US13261","Sumter County, Georgia","30064","*****"
"0500000US13263","Talbot County, Georgia","6321","*****"
"0500000US13265","Taliaferro County, Georgia","1611","180"
"0500000US13267","Tattnall County, Georgia","25382","*****"
"0500000US13269","Taylor County, Georgia","8116","*****"
"0500000US13271","Telfair County, Georgia","16035","*****"
"0500000US13273","Terrell County, Georgia","8737","*****"
"0500000US13275","Thomas County, Georgia","44630","*****"
"0500000US13277","Tift County, Georgia","40541","*****"
"0500000US13279","Toombs County, Georgia","26972","*****"
